"words","out","Freq"
"come","to",51
"does","not",51
"forward","to",51
"from","my",51
"is","my",51
"is","on",51
"last","night",51
"like","it",51
"make","the",51
"must","be",51
"said","that",51
"too","much",51
"and","all",50
"can","do",50
"for","an",50
"for","your",50
"had","the",50
"in","her",50
"in","order",50
"she","is",50
"take","a",50
"the","country",50
"to","win",50
"up","in",50
"who","has",50
"a","day",49
"a","man",49
"but","we",49
"going","on",49
"hard","to",49
"have","no",49
"how","much",49
"i","ll",49
"in","to",49
"love","you",49
"new","jersey",49
"not","have",49
"on","your",49
"the","more",49
"the","season",49
"the","th",49
"this","one",49
"to","try",49
"to","use",49
"what","the",49
"when","we",49
"will","have",49
"at","pm",48
"close","to",48
"dont","know",48
"i","like",48
"i","went",48
"is","so",48
"of","its",48
"so","we",48
"the","fact",48
"the","show",48
"the","year",48
"to","our",48
"to","watch",48
"what","we",48
"you","dont",48
"and","there",47
"because","the",47
"being","a",47
"decided","to",47
"fact","that",47
"having","a",47
"might","be",47
"on","it",47
"so","far",47
"time","and",47
"tried","to",47
"up","on",47
"and","now",46
"for","their",46
"got","to",46
"in","fact",46
"just","as",46
"or","the",46
"the","future",46
"the","team",46
"them","in",46
"they","can",46
"this","morning",46
"to","it",46
"to","move",46
"to","their",46
"we","need",46
"where","the",46
"you","for",46
"you","were",46
"and","is",45
"are","in",45
"as","we",45
"based","on",45
"could","have",45
"i","found",45
"i","saw",45
"is","still",45
"it","out",45
"ive","been",45
"not","only",45
"out","and",45
"rather","than",45
"st","louis",45
"to","tell",45
"to","your",45
"up","for",45
"we","will",45
"with","me",45
"and","how",44
"and","more",44
"but","not",44
"do","the",44
"even","though",44
"his","own",44
"i","d",44
"i","never",44
"know","how",44
"like","that",44
"may","have",44
"on","their",44
"or","a",44
"order","to",44
"t","have",44
"t","know",44
"their","own",44
"think","of",44
"to","read",44
"us","to",44
"with","all",44
"you","do",44
"across","the",43
"after","a",43
"and","she",43
"and","their",43
"at","this",43
"chance","to",43
"due","to",43
"find","a",43
"how","many",43
"in","it",43
"not","just",43
"say","that",43
"talking","about",43
"the","ball",43
"the","middle",43
"they","had",43
"was","no",43
"you","get",43
"amount","of",42
"bit","of",42
"but","they",42
"check","out",42
"for","all",42
"for","more",42
"if","he",42
"isn","t",42
"it","i",42
"know","i",42
"lack","of",42
"think","it",42
"with","this",42
"would","not",42
"you","need",42
"a","chance",41
"and","this",41
"any","of",41
"because","they",41
"do","i",41
"if","it",41
"in","new",41
"in","one",41
"it","but",41
"needs","to",41
"not","sure",41
"out","in",41
"think","i",41
"when","she",41
"you","think",41
"a","huge",40
"as","you",40
"become","a",40
"for","us",40
"here","and",40
"it","the",40
"love","to",40
"on","that",40
"out","there",40
"seem","to",40
"side","of",40
"that","there",40
"the","school",40
"to","think",40
"to","write",40
"two","years",40
"until","the",40
"with","an",40
"a","way",39
"a","while",39
"as","if",39
"at","home",39
"for","our",39
"for","them",39
"he","could",39
"it","on",39
"live","in",39
